SMILES,Sigma,NBO_CC,NBO_SC,E(HOMO),E(LUMO)
O=C(O)c1cccc(SC(F)(F)C(F)(F)C(F)(F)F)c1,0.45,-0.171,-0.232,-0.2818,-0.08333
O=C(O)c1cccc(SC(F)(C(F)(F)F)C(F)(F)F)c1,0.48,-0.171,-0.238,-0.2811,-0.08367
O=C(O)c1cccc([Te]C(F)(F)C(F)(F)C(F)(F)F)c1,0.46,-0.168,-0.381,-0.24923,-0.08379
O=C(O)c1cccc(C(O)(C(F)(F)F)C(F)(F)F)c1,0.29,-0.167,-0.091,-0.2867,-0.07603
O=C(O)c1cccc(C(SC(F)(F)F)SC(F)(F)F)c1,0.44,-0.165,-0.091,-0.27906,-0.08373
N#CC(C#N)c1cccc(C(=O)O)c1,0.53,-0.161,-0.045,-0.29941,-0.09052
O=C(O)c1cccc(/C=C\C(F)(F)F)c1,0.16,-0.17,-0.101,-0.26568,-0.07942
O=C(O)c1cccc(/C=C/C(F)(F)F)c1,0.24,-0.171,-0.095,-0.26626,-0.08878
O=C(O)c1cccc(/C=C/S(=O)(=O)C(F)(F)F)c1,0.31,-0.169,-0.1,-0.29114,-0.1146
N#C/C=C/c1cccc(C(=O)O)c1,0.24,-0.169,-0.092,-0.26993,-0.10325
CC#Cc1cccc(C(=O)O)c1,0.21,-0.175,-0.117,-0.24073,-0.06693
CN(C(=O)C(F)(F)F)c1cccc(C(=O)O)c1,0.41,-0.168,0.121,-0.28077,-0.08117
O=C/C=C/c1cccc(C(=O)O)c1,0.24,-0.173,-0.101,-0.26403,-0.10097
O=C(O)c1cccc(C2CC2)c1,-0.07,-0.17,-0.037,-0.24752,-0.06241
C=C(C)c1cccc(C(=O)O)c1,0.09,-0.173,-0.066,-0.24204,-0.06513
C/C=C/c1cccc(C(=O)O)c1,0.02,-0.173,-0.073,-0.23305,-0.06247
C=CCc1cccc(C(=O)O)c1,-0.11,-0.172,-0.039,-0.25908,-0.06381
CCC(c1cccc(C(=O)O)c1)([N+](=O)[O-])[N+](=O)[O-],0.56,-0.169,-0.107,-0.29314,-0.1125
C=CCOc1cccc(C(=O)O)c1,0.09,-0.163,0.315,-0.24001,-0.06193
CCC(=O)c1cccc(C(=O)O)c1,0.38,-0.17,-0.157,-0.26353,-0.08222
CCOC(=O)c1cccc(C(=O)O)c1,0.37,-0.18,-0.167,-0.28075,-0.07638
