SMILES,Sigma
O=C(O)c1cccc(C2CCC2)c1,-0.05
CC(C)C(=O)c1cccc(C(=O)O)c1,0.38
O=C(O)c1ccc2c(c1)CCCC2,-0.48
CC(C)C(=O)Nc1cccc(C(=O)O)c1,0.11
CC(C)(C)c1cccc(C(=O)O)c1,-0.1
CCC(C)c1cccc(C(=O)O)c1,-0.08
CC(C)Cc1cccc(C(=O)O)c1,-0.07
CCCCc1cccc(C(=O)O)c1,-0.08
CCCCOc1cccc(C(=O)O)c1,0.1
CC(C)(O)Cc1cccc(C(=O)O)c1,-0.16
COC(OC)(OC)c1cccc(C(=O)O)c1,-0.03
CC[As](CC)c1cccc(C(=O)O)c1,0.22
CC[As](=O)(CC)c1cccc(C(=O)O)c1,0.57
CC[As](=S)(CC)c1cccc(C(=O)O)c1,0.52
CCCCNc1cccc(C(=O)O)c1,-0.34
CCN(CC)c1cccc(C(=O)O)c1,-0.23
CCP(=O)(CC)c1cccc(C(=O)O)c1,0.37
CCOP(=O)(/N=N\c1cccc(C(=O)O)c1)OCC,0.16
CCOP(=O)(OCC)c1cccc(C(=O)O)c1,0.55
CCP(CC)c1cccc(C(=O)O)c1,0.1
CCP(=S)(CC)c1cccc(C(=O)O)c1,0.39
C[N+](C)(C)Cc1cccc(C(=O)O)c1,0.4
C[NH+](C)CCc1cccc(C(=O)O)c1,0.24
C[Si](C)(C)OCc1cccc(C(=O)O)c1,-0.04
C[Si](C)(C)Cc1cccc(C(=O)O)c1,-0.16
CN(C)P(=O)(c1cccc(C(=O)O)c1)N(C)C,0.3
CN(C)P(c1cccc(C(=O)O)c1)N(C)C,0.18
N#CC(C#N)=C(C#N)c1cccc(C(=O)O)c1,0.77
N#Cc1ccc(-c2cccc(C(=O)O)c2)o1,0.25
O=Cc1ccc(-c2cccc(C(=O)O)c2)o1,0.22
O=C(O)c1cccc(-c2ccccn2)c1,0.33
O=C(O)c1cccc(-c2cccnc2)c1,0.23
O=C(O)c1cccc(-c2ccncc2)c1,0.27
Cc1nc(C)nc(-c2cccc(C(=O)O)c2)n1,0.25
O=C(O)c1cccc(C2=CCCC2)c1,-0.06
CCOC(=O)/C=C/c1cccc(C(=O)O)c1,0.19
O=C(O)c1cccc(C2CCCC2)c1,-0.05
CC(C)(C)C(=O)c1cccc(C(=O)O)c1,0.27
CCCCOC(=O)Nc1cccc(C(=O)O)c1,0.06
CCC(C)(C)c1cccc(C(=O)O)c1,-0.06
CC(C)(C)Cc1cccc(C(=O)O)c1,-0.05
CCCCCc1cccc(C(=O)O)c1,-0.08
CCCCCOc1cccc(C(=O)O)c1,0.1
CCOP(=O)(Cc1cccc(C(=O)O)c1)OCC,0.12
C[N+](C)(C)CCc1cccc(C(=O)O)c1,0.16
C[Si](C)(C)CCc1cccc(C(=O)O)c1,-0.16
C[Si](C)(C)O[Si](C)(C)c1cccc(C(=O)O)c1,0.0
O=C(O)c1cccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,0.25
O=C(O)c1cccc(-c2c(F)c(F)c(F)c(F)c2F)c1,0.26
O=C(O)c1cccc(P(=O)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)c1,0.95
O=C(O)c1cccc(OP(=O)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)c1,0.66
O=C(O)c1cccc(NP(=O)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)c1,0.28
O=C(O)c1cccc(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1,0.26
O=C(O)c1cccc(-c2cccc(Br)c2)c1,0.09
O=C(O)c1cccc(-c2ccc(Br)cc2)c1,0.15
O=C(O)c1cccc(-c2cccc(Cl)c2)c1,0.15
O=C(O)c1cccc(-c2ccc(Cl)cc2)c1,0.15
O=C(O)c1cccc(-c2cccc(F)c2)c1,0.15
O=C(O)c1cccc(-c2ccc(F)cc2)c1,0.12
O=C(O)c1cccc(Oc2ccc(F)cc2)c1,-0.08
O=C(O)c1cccc(-c2cccc(I)c2)c1,0.13
O=C(O)c1cccc(-c2ccc(I)cc2)c1,0.14
O=C(O)c1cccc(-c2cccc([N+](=O)[O-])c2)c1,0.21
O=C(O)c1cccc(-c2ccc([N+](=O)[O-])cc2)c1,0.25
O=C(O)c1cccc(Sc2ccc([N+](=O)[O-])cc2)c1,0.32
O=C(O)c1cccc(S(=O)c2ccc([N+](=O)[O-])cc2)c1,0.58
O=C(O)c1cccc(-n2nc3ccccc3n2)c1,0.49
O=C(O)c1cccc(-c2ccccc2)c1,0.06
O=C(O)c1cccc(/[N+]([O-])=N/S(=O)(=O)c2ccccc2)c1,0.69
O=C(O)c1cccc(/N=N/c2ccccc2)c1,0.32
O=C(O)c1cccc(Oc2ccccc2)c1,0.25
O=C(O)c1cccc(S(=O)c2ccccc2)c1,0.5
CC(=O)c1ccc(-c2cccc(C(=O)O)c2)o1,0.24
CC1=CC=CC(c2cccc(C(=O)O)c2)O1,0.38
O=C(O)c1cccc(S(=O)(=O)c2ccccc2)c1,0.62
O=C(O)c1cccc(OS(=O)(=O)c2ccccc2)c1,0.36
O=C(O)c1cccc(Sc2ccccc2)c1,0.23
O=C(O)c1cccc(Nc2ccccc2)c1,-0.02
O=C(O)c1cccc(NS(=O)(=O)c2ccccc2)c1,0.16
O=C(O)c1cccc(S(=O)(=O)Nc2ccccc2)c1,0.56
CCc1ccc(-c2cccc(C(=O)O)c2)o1,0.09
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,0.49
O=C(O)c1cccc(C2=CCCCC2)c1,-0.1
O=C(O)c1cccc(C2CCCCC2)c1,-0.05
CCCN(CCC)c1cccc(C(=O)O)c1,-0.26
CN(C)CCCCc1cccc(C(=O)O)c1,-0.08
CC(C)P(=O)(c1cccc(C(=O)O)c1)C(C)C,0.37
CC(C)P(c1cccc(C(=O)O)c1)C(C)C,0.02
CCCOP(=O)(OCCC)c1cccc(C(=O)O)c1,0.38
CC[Ge](CC)(CC)c1cccc(C(=O)O)c1,0.0
C[N+](C)(C)CCCc1cccc(C(=O)O)c1,0.06
CCO[Si](OCC)(OCC)c1cccc(C(=O)O)c1,0.02
CC[P+](CC)(CC)c1cccc(C(=O)O)c1,0.99
CC[Sn](CC)(CC)c1cccc(C(=O)O)c1,0.0
O=C(O)c1cccc(P(=NS(=O)(=O)C(F)(F)F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)c1,1.24
CN(C)[Si](c1cccc(C(=O)O)c1)(N(C)C)N(C)C,-0.04
O=C(O)c1cccc(-c2nc3ccccc3o2)c1,0.3
O=C(O)c1cccc(-c2nc3ccccc3s2)c1,0.27
O=C(O)c1cccc(C(=O)c2ccccc2)c1,0.34
O=C(O)c1cccc(OC(=O)c2ccccc2)c1,0.21
O=C(O)c1cccc(C(=O)Oc2ccccc2)c1,0.37
O=C(O)c1cccc(/N=C/c2ccccc2)c1,-0.08
O=C(O)c1cccc(/C=N/c2ccccc2)c1,0.35
O=C(O)c1cccc(NC(=O)c2ccccc2)c1,0.02
O=C(O)c1cccc(C(=O)Nc2ccccc2)c1,0.23
Cc1ccc(-c2cccc(C(=O)O)c2)cc1,0.06
O=C(O)c1cccc(Cc2ccccc2)c1,-0.08
Cc1ccc(O)c(/N=N/c2cccc(C(=O)O)c2)c1,0.27
COc1ccc(-c2cccc(C(=O)O)c2)cc1,0.05
O=C(O)c1cccc(C(O)c2ccccc2)c1,0.0
O=C(O)c1cccc(COc2ccccc2)c1,0.06
O=C(O)c1cccc(CS(=O)(=O)c2ccccc2)c1,0.15
CCC(CC)(CC)c1cccc(C(=O)O)c1,-0.07
